iter	Passed	Remaining
0	4	474
1	7	386
2	12	393
3	15	373
4	19	367
5	23	366
6	25	345
7	29	342
8	33	334
9	36	330
10	39	322
11	44	324
12	47	320
13	51	315
14	54	308
15	58	307
16	62	304
17	66	301
18	69	294
19	72	288
20	76	288
21	80	286
22	84	281
23	86	275
24	90	272
25	93	267
26	96	261
27	99	255
28	101	248
29	103	241
30	107	240
31	109	233
32	111	226
33	113	220
34	115	213
35	116	207
36	118	200
37	120	196
38	123	192
39	124	186
40	125	180
41	126	175
42	128	169
43	129	164
44	130	159
45	131	154
46	132	149
47	133	144
48	134	139
49	135	135
50	137	131
51	138	127
52	139	123
53	140	119
54	141	115
55	142	111
56	142	107
57	143	104
58	144	100
59	145	97
60	146	93
61	147	90
62	148	87
63	149	84
64	150	81
65	152	78
66	154	75
67	155	73
68	156	70
69	157	67
70	158	64
71	158	61
72	159	59
73	160	56
74	161	53
75	162	51
76	163	48
77	164	46
78	165	43
79	166	41
80	167	39
81	169	37
82	170	34
83	171	32
84	172	30
85	173	28
86	174	26
87	175	23
88	175	21
89	176	19
90	177	17
91	178	15
92	179	13
93	180	11
94	181	9
95	181	7
96	183	5
97	185	3
98	186	1
99	186	0
